xv,wl,uc,7
eh,no,an,1
yk,wx,kb,1
xq,xt,aw,4
ib,qk,k ,1
bz,r ,m ,7
mp,by,yw,4
ty,px,qn,10
a ,uo,or,6
_w,ph,vk,3
xs,ef,ac,4
vu,ks,qc,10
wo,ng,to,1
wp,aj,de,4
sx,qc,yj,1
cw,zh,ux,1
ad,hu,xe,1
tv,xv,sj,10
bn,do,fj,4
an,qb,os,3
su,tt,zm,7
p ,bs,vl,8
lb,kq,ai,8
pu,in,v ,8
lh,jc,uv,10
wq,wd,bx,8
zy,qm,zn,3
hq,mo,lv,7
fu,kq,sx,1
du,io,vl,10
fo,mn,bm,8
ti,ha,wl,7
gc,tw,fx,1
rv,tk,ej,10
af,vt,wz,4
nz,tu,es,1
qk,ap,y ,8
dg,qa,po,1
uy,xk,ne,8
xz,ta,xv,7
rn,bh,mv,3
_f,at,ge,1
_x,xt,cm,6
oo,am,tt,8
br,_g,il,4
tc,ip,jv,8
hv,do,ip,8
br,vn,zz,8
cr,pr,wd,4
it,ll,pb,8
zd,ki,zi,1
aw,no,xq,4
tw,ye,iv,1
cw,qe, q,1
re,lg, r,7
_d,md, t,10
fi,qz,qg,1
zb,qj,lb,3
p ,u ,dy,3
co,lq,b ,4
rs,hg,tr,7
ux,fj,it,10
mr,yb,yc,1
qm,tw,xv,6
mn,mv,w ,10
px,zh,zw,10
xh,_c,l ,3
il,qy,zy,6
mh,_c,hr,3
xi,bt,fk,8
pi,_w,yx,4
uz,av,ia,1
le,ed,ti,1
sa,uo,yj,7
tg,pi,lt,6
ma,fj,he,7
yq,bw,yy,1
cx,kp,pl,1
_p,zz,cx,10
bx,wb,re,1
at,vz,xt,1
j ,bn,sg,8
yi,rr,xl,10
cu,se,dx,1
w ,gd,vx,3
rf,hs,ic,10
xa,rn,qz,4
lp,zx,bo,8
ni,yh,qa,3
so,ij,dp,1
sr,_j,im,8
ph,rq,ny,8
o ,sw, m,3
gy,af,nd,1
ax,zj,kq,7
ck,sd,kj,7
vn,ev,tj,10
zj,ao,kd,7
_w,ec,up,8
sr,ah,vt,1
tx,vr,cf,7
_z,hj,jr,4
zx,yc,fy,8
nr,om,nb,7
jo,df,zu,8
_i,vk,xk,3
ch,kr,pk,6
tl,fr,zg,8
_r,dv,it,8
jm,na,fl,6
fb,yh,wz,4
rw,oc,tg,1
hq,dx,uu,10
uu,lb,wn,8
vc,gt,rk,6
kx,af,kn,8
fk,wf,bs,10
ge,fy, h,1
nm,dy,qa,6
jb,em,lw,10
vt,ur,uo,3
az,cf,rk,4
qy,fj,sn,10
sn,qh,ff,1
ao,pd,d ,1
lw,sp,ch,10
qf,jf,ri,4
ms,cf,uy,6
wv,aq,ov,1
ss,ep,re,10
_k,ij,am,6
po,ct,ex,6
ob,vf,dt,3
o ,jv,dc,3
ys,zq,qi,3
tc,mv, r,6
rv,tp,re,7
cg,yt,za,1
yl,xo,ru,3
ds,ly,lh,1
qr,_q,sc,7
pq,p ,oc,7
ag,gd,ic,6
pm,_v,xo,6
kb,zq,td,8
c ,bf,dh,6
ah,rc,na,4
_j,yy,yw,7
on,ly,se,8
se,rx,v ,7
ra,ij,tz,8
me,or,za,3
ht,rf,ze,3
pd,_k,o ,8
nd,hc,k ,8
ek,ns,xz,6
br,td, v,10
zr,zy,y ,4
ss,jn,am,1
wb,nh, n,3
og,at,ke,7
ar,pa,ng,3
jd,mi,ui,6
rs,ii,yj,3
zh,qc,ju,7
qf,eh,l ,4
mb,vy,vq,7
dd,cr,fs,7
sc,ln,xf,10
mt,ib,ut,4
_j,jg,vf,6
gr,qi,qb,3
yq,gd,km,8
gr,_j,kp,8
_z,np,vj,1
dt,bz,lo,8
st,zg,ie,3
ho,mm,dm,8
me,wx,hj,8
ks,vb,tw,4
d ,yx,rm,10
pj,pl,bl,6
oo,yb, u,3
oy,b ,fe,4
xo,gf,ta,10
ba,vn,hz,4
wi,za,jx,4
gr,p ,qq,4
im,hx,kt,8
cd,ha,ra,6
wg,pe,tl,1
mo,wk,um,8
sl,kw,ns,10
cx,eo,ne,7
ei,lh, s,4
ux,li,yy,8
mx,ju,hp,7
hj,ji,io,4
ga,qu,la,8
id,ny,rr,3
yt,ta,ps,6
wo,lv,jt,4
ds,vb,zl,7
_d,cg,qz,3
zk,xq,wa,1
bz,sk,eu,1
og,bn,zy,6
ko,hn,yk,1
rx,cq,lv,7
he,gh,yw,6
ju,ib,hy,10
ln,xk,aw,10
bw,ul,zl,8
mp,kq,ul,6
yd,co,td,3
pv,qh,xt,4
hf,qx,mz,8
wr,rn,dt,10
gu,ns,db,6
qc,pd,vp,10
sa,pa,lu,3
al,dn,pk,6
ux,nd,yx,6
mr,zt,fy,7
yc,uo,za,4
bd,az,nr,4
cc,tf,vy,4
uy,us,rh,6
rn,we,ij,8
ql,tx,si,7
oa,xv,zk,3
yi,eu,ve,8
ki,mw,yu,4
ut,ch,sa,10
tn,tt,qi,4
pk,dg,re,8
xf,bb,rc,8
ds,oc,jt,1
nw,ky,wu,10
mp,jp,ix,4
iw,po,ps,10
mx,zk,ix,3
dc,gt,xx,7
vr,bh,ug,10
jy,go,ly,3
uz,ob,ly,10
kh,a ,bx,3
ua,_h, n,6
fr,qz,ge,4
_k,lh, m,1
zp,wc,hn,1
oe,ej,wu,8
jr,wo,v ,3
au,ks,bs,8
sb,pr,uy,3
oe,ak,wz,6
un,ow,sh,10
lz,pu,si,10
en,zw,rq,4
mx,yt,nx,4
_f,_n,sq,4
j ,du,od,3
xq,xh,vj,1
ge,tw,xb,7
xh,sn,kl,7
rk,ia,hh,6
i ,so,hg,1
yo,ls,om,6
lc,nq,ex,3
bd,bx,db,3
yk,yf,ky,8
bw,ib,nv,3
eu,au,hb,7
cv,qn,pm,6
fw,ld,ww,8
tc,aw,zb,7
ub,ua,rd,3
st,jm,vr,8
xb,am,qg,7
kg,ab,pt,4
ni,we,oa,6
rq,ht,kg,8
zm,qn,mt,1
qc,uk,jq,1
bf,vg,hn,7
ea,zu,wz,4
au,gj,ho,10
qv,bk,rl,3
bk,ly,rd,8
cr,nn,ha,3
le,tz,xc,10
ke,ux,va,7
km,zg, u,4
lq,zf,ia,3
pn,ye,ss,4
lw,mf,ud,10
yk,nb,rj,4
wx,jk,rj,1
cc,iq,ru,4
uq,qo,nf,4
ca,_i,ax,4
qt,ei,ky,6
bl,fx,sf,6
bq,gd, k,10
rf,ld,di,1
zc,_k,lk,10
zo,_y,iv,4
px,oi,mx,3
vq,hg,j ,10
zh,wa,xm,3
lc,fg,wt,7
bd,fc,wt,10
ra,_w,ed,6
st,yu,nw,7
ym,qh,jx,6
ta,sr,oj,10
aw,tt,mu,7
qn,ju,vv,4
xz,xe,mf,6
nx,dr,mw,3
iy,bk,ww,4
sj,ie,kh,7
mg,cd,jz,3
le,vm,ry,1
gj,mg,le,3
ub,hh,nj,1
zk,os,fh,8
kc,tc,ka,10
ct,no,ha,3
qm,r ,xa,7
pu,yj,wc,3
i ,ph,fj,10
_t,zx,tc,8
dz,is,su,7
nm,dl,ja,10
_e,gc,gn,4
kb,il,j ,3
lu,bp,qp,10
iw,zr,kl,3
jx,uq,ek,8
qg,mq,gb,3
s ,ee,uu,3
fr,ur,po,4
_y,vj,ta,1
pk,lf,tu,8
n ,ey,rc,1
za,dz,ln,7
mi,tw,um,4
fv,_c,jb,7
oh,vv,nz,1
ep,iy,dn,6
zl,oh,kv,7
am,yk,g ,6
dt,od,br,8
nm,ui,ff,7
ou,xf,lu,6
vs,ie,iq,10
_b,ex, a,8
mr,bv,rf,10
v ,dg,ss,8
mf,pq,vl,7
zn,bu,ny,3
ec,qv,hy,6
pr,jd,wz,4
xl,yn,jr,6
ot,gn,cs,4
pi,gz, m,7
ij,wv,ie,1
ix,wr,bq,4
bh,rm,dp,3
af,rg,jn,4
vv,td,ju,7
sj,qn,cb,6
dk,on,aa,8
uk,_x,gi,3
zv,jb,lg,6
vb,gb,a ,7
oa,sf,sh,7
rg,xn,dc,7
iw,zt,is,4
yc,pw,rb,7
ai,uy,kl,10
rh,za,tj,3
gd,cp,ye,6
vy,xt,ot,8
fo,xc, f,8
ol,np, z,3
ur,lw,h ,4
